iati-identifier,reporting-org,sector(name),sector(code),other-identifier,title,activity-scope,budget,recipient-country,recipient-country(percentage),recipient-region,recipient-region(percentage),contact-info,budget(period-start),budget(period-end),description
2010 CLI 314,University of Reading,Environmental Research,41082,Climate: African Ag,Capacity building support to East African Agriculture Adaptation Units,3,599400,Kenya,119880,,,"Boltz, Fred",10/1/10,5/31/14,"for use by its Walker Institute for Climate System Research in collaboration with its Statistical Services Centre, in support of providing capacity building assistance to the climate change units of seven agriculture research and development institutions in East and Central Africa"
2010 CLI 314,University of Reading,Environmental Research,41082,Climate: African Ag,Capacity building support to East African Agriculture Adaptation Units,3,599400,Rwanda,119880,,,"Boltz, Fred",10/1/10,5/31/14,"for use by its Walker Institute for Climate System Research in collaboration with its Statistical Services Centre, in support of providing capacity building assistance to the climate change units of seven agriculture research and development institutions in East and Central Africa"
2010 CLI 314,University of Reading,Environmental Research,41082,Climate: African Ag,Capacity building support to East African Agriculture Adaptation Units,3,599400,Tanzania,119880,,,"Boltz, Fred",10/1/10,5/31/14,"for use by its Walker Institute for Climate System Research in collaboration with its Statistical Services Centre, in support of providing capacity building assistance to the climate change units of seven agriculture research and development institutions in East and Central Africa"
2010 CLI 314,University of Reading,Environmental Research,41082,Climate: African Ag,Capacity building support to East African Agriculture Adaptation Units,3,599400,Uganda,119880,,,"Boltz, Fred",10/1/10,5/31/14,"for use by its Walker Institute for Climate System Research in collaboration with its Statistical Services Centre, in support of providing capacity building assistance to the climate change units of seven agriculture research and development institutions in East and Central Africa"
2010 CLI 315,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Vietnam Phase 3 Coordination,4,781790,Vietnam,235279,,,"Dayal, Ashvin",11/1/10,6/30/14,"in support of assisting three cities in Vietnam - Can Tho, Da Nang and Quy Nhon - to plan and implement climate resilience projects, provide project management and financial oversight for resilience projects, map key climate change policies and networks and identify new sources of funding, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 315,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Vietnam Phase 3 Coordination,4,781790,Vietnam,781790,,,"Dayal, Ashvin",11/1/10,6/30/14,"in support of assisting three cities in Vietnam - Can Tho, Da Nang and Quy Nhon - to plan and implement climate resilience projects, provide project management and financial oversight for resilience projects, map key climate change policies and networks and identify new sources of funding, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 318,Taru Leading Edge Private Limited,Environmental Research,41082,Climate: Asian Cities,India Phase 3 Coordination,4,825420,India,825420,,,"Dayal, Ashvin",10/1/10,9/30/14,"in support of assisting three cities in India (Surat, Indore, and Gorakhpur) to plan and implement climate resilience projects, by building the capacity of city partners and other actors in those cities to undertake urban climate resilience work, partner with national, state, and local governments to initiate reforms that support urban climate resilience in India, and document methodologies and lessons learned as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 323,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Climate Change Resilience Coordination Offices in ACCCRN Vietnam Cities,4,1582240,Vietnam,1082230,,,"Dayal, Ashvin",12/1/10,12/31/14,"in support of establishing city climate change coordination offices in three Vietnamese cities (Can Tho, Da Nang and Quy Nhon) that will enable local government planning, decision making and policy implementation for climate change resilience and adaptation that is consistent with the requirements of the Vietnam National Target Program for Climate Change, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 323,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Climate Change Resilience Coordination Offices in ACCCRN Vietnam Cities,4,1582240,Vietnam,1582240,,,"Dayal, Ashvin",12/1/10,12/31/14,"in support of establishing city climate change coordination offices in three Vietnamese cities (Can Tho, Da Nang and Quy Nhon) that will enable local government planning, decision making and policy implementation for climate change resilience and adaptation that is consistent with the requirements of the Vietnam National Target Program for Climate Change, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 328,Taru Leading Edge Private Limited,Environmental Research,41082,Climate: Asian Cities,Surat - End-to-End Early Warning System for Ukai and Local Floods,4,509900,India,509900,,,"Dayal, Ashvin",12/1/10,12/31/14,"in support of modeling an end-to-end early warning system that will help improve the management of reservoir releases and reduce the intensity of floods and resultant damage in the city of Surat, India, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 330,Taru Leading Edge Private Limited,Environmental Research,41082,Climate: Asian Cities,Indore conjunctive water management system based on demand focused end-use,4,239850,India,239850,,,"Dayal, Ashvin",12/1/10,10/31/14,"in collabration with a range of city-based stakeholders and organizations in support of developing and demonstrating a range of models for cost effective, reliable, decentralized urban water management that are driven by differentiated end-use demands in Indore City, India, as part of the Asian Cities Climate Change Resilience Network"
2010 CLI 331,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,"Developing, testing and institutionalising ward-level micro resilience planning",4,479150,India,479150,,,"Dayal, Ashvin",12/1/10,9/30/14,"in support of developing a model for ward-level climate change resilience planning that can be integrated into the overall development planning process in Gorakhpur, India, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 301,Thailand Environment Institute Foundation,Environmental Research,41082,Climate: Asian Cities,Thailand Phase 3 Coordination,4,783960,Thailand,50000,,,"Dayal, Ashvin",7/1/11,12/31/14,"in support of carrying out Phase III activities of the Asian Cities Climate Change Resilience Network related to building climate change resilience in Chiang Rai and Hat Yai, Thailand; to support other cities in Thailand to expand their understanding of urban climate change resilience knowledge and practice; and to map and engage key national stakeholders to increase resources and attention to urban climate change resilience in Thailand"
2011 CAC 301,Thailand Environment Institute Foundation,Environmental Research,41082,Climate: Asian Cities,Thailand Phase 3 Coordination,4,783960,Thailand,783960,,,"Dayal, Ashvin",7/1/11,12/31/14,"in support of carrying out Phase III activities of the Asian Cities Climate Change Resilience Network related to building climate change resilience in Chiang Rai and Hat Yai, Thailand; to support other cities in Thailand to expand their understanding of urban climate change resilience knowledge and practice; and to map and engage key national stakeholders to increase resources and attention to urban climate change resilience in Thailand"
2011 CAC 302,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,credit and housing scheme Da Nang womens union,4,639820,Vietnam,427546,,,"Dayal, Ashvin",10/1/11,9/30/14,"in support of a project, in collaboration with the Da Nang Women's Union, to build resilience to the impacts of climate change through funding the development of storm resistant housing and providing capacity building support to and raising awareness among vulnerable communities in Da Nang, Vietnam, as part of the Asian City Climate Change Resilience Network"
2011 CAC 302,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,credit and housing scheme Da Nang womens union,4,639820,Vietnam,451850,,,"Dayal, Ashvin",10/1/11,9/30/14,"in support of a project, in collaboration with the Da Nang Women's Union, to build resilience to the impacts of climate change through funding the development of storm resistant housing and providing capacity building support to and raising awareness among vulnerable communities in Da Nang, Vietnam, as part of the Asian City Climate Change Resilience Network"
2011 CAC 302,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,credit and housing scheme Da Nang womens union,4,639820,Vietnam,639820,,,"Dayal, Ashvin",10/1/11,9/30/14,"in support of a project, in collaboration with the Da Nang Women's Union, to build resilience to the impacts of climate change through funding the development of storm resistant housing and providing capacity building support to and raising awareness among vulnerable communities in Da Nang, Vietnam, as part of the Asian City Climate Change Resilience Network"
2011 CAC 303,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,adaptive peri urban agriculture Gorakpur,3,631240,India,49561,,,"Dayal, Ashvin",12/1/11,5/31/15,"in support of a project to enhance the climate change resilience of Gorakhpur city through research and advocacy on the contribution of peri-urban agriculture to mitigating long-term changing patterns of flood risk, and the expansion of agriculture farm models and extension services, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 303,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,adaptive peri urban agriculture Gorakpur,3,631240,India,631240,,,"Dayal, Ashvin",12/1/11,5/31/15,"in support of a project to enhance the climate change resilience of Gorakhpur city through research and advocacy on the contribution of peri-urban agriculture to mitigating long-term changing patterns of flood risk, and the expansion of agriculture farm models and extension services, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 303,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,adaptive peri urban agriculture Gorakpur,3,631240,UnitedKingdom,95000,,,"Dayal, Ashvin",12/1/11,5/31/15,"in support of a project to enhance the climate change resilience of Gorakhpur city through research and advocacy on the contribution of peri-urban agriculture to mitigating long-term changing patterns of flood risk, and the expansion of agriculture farm models and extension services, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 303,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,adaptive peri urban agriculture Gorakpur,3,631240,UnitedStates,25420,,,"Dayal, Ashvin",12/1/11,5/31/15,"in support of a project to enhance the climate change resilience of Gorakhpur city through research and advocacy on the contribution of peri-urban agriculture to mitigating long-term changing patterns of flood risk, and the expansion of agriculture farm models and extension services, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,,,Asia,1400000,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,,,Global,600000,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,India,187350,,,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,Indonesia,187350,,,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,Thailand,187350,,,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 304,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,research and the production of knowledge products,1,2000000,Vietnam,187350,,,"Dayal, Ashvin",1/1/12,12/31/14,"in support of research and the production of knowledge products, including briefing and synthesis papers, published articles, and multi-media products, which draw upon the experience of the Asian Cities Climate Change Resilience Network (ACCCRN) and other urban climate change resilience building efforts in Asia"
2011 CAC 305,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,Institutional support to the ICCCAD to deliver capacity building on UCCR,2,1991160,,,Africa,995580,"Dayal, Ashvin",1/1/12,12/31/16,in support of launching the International Centre for Climate Change and Development to develop and implement a series of urban climate change resilience-building short courses and a related Masters of Science module and to undertake institutional strengthening and organizational development
2011 CAC 305,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,Institutional support to the ICCCAD to deliver capacity building on UCCR,2,1991160,,,Asia,995580,"Dayal, Ashvin",1/1/12,12/31/16,in support of launching the International Centre for Climate Change and Development to develop and implement a series of urban climate change resilience-building short courses and a related Masters of Science module and to undertake institutional strengthening and organizational development
2011 CAC 305,International Institute for Environment and Development,Environmental Research,41082,Climate: Asian Cities,Institutional support to the ICCCAD to deliver capacity building on UCCR,2,1991160,Bangladesh,1484180,,,"Dayal, Ashvin",1/1/12,12/31/16,in support of launching the International Centre for Climate Change and Development to develop and implement a series of urban climate change resilience-building short courses and a related Masters of Science module and to undertake institutional strengthening and organizational development
2011 CAC 307,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Building UCCR through integrated education in Da Nang,8,335830,Vietnam,335830,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Department of Education and Training of Da Nang City, the Da Nang Climate Change Coordination Office, and the Ministry of Education and Training, to develop, test, and implement an integrated urban climate change resilience education curriculum for three education levels in Danang, Vietnam"
2011 CAC 307,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Building UCCR through integrated education in Da Nang,8,335830,Vietnam,335830,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Department of Education and Training of Da Nang City, the Da Nang Climate Change Coordination Office, and the Ministry of Education and Training, to develop, test, and implement an integrated urban climate change resilience education curriculum for three education levels in Danang, Vietnam"
2011 CAC 308,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Ecosystem Services for Climate Resilience in Quy Nhon City,8,548280,Vietnam,548280,,,"Dayal, Ashvin",1/1/12,12/31/15,"toward the costs of a project, in collaboration with the Binh Dinh Climate Change Coordination Office and the Department of Agriculture and Rural Development, to restore the ecosystem of a mangrove forest in an urban lagoon of Quy Nhon, Vietnam, using co-management practices to enable positive community benefits and successful forest regeneration, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 308,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Ecosystem Services for Climate Resilience in Quy Nhon City,8,548280,Vietnam,548280,,,"Dayal, Ashvin",1/1/12,12/31/15,"toward the costs of a project, in collaboration with the Binh Dinh Climate Change Coordination Office and the Department of Agriculture and Rural Development, to restore the ecosystem of a mangrove forest in an urban lagoon of Quy Nhon, Vietnam, using co-management practices to enable positive community benefits and successful forest regeneration, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 310,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,reserach climate and dengue in Can Tho,,518720,UnitedKingdom,9690,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Can Tho Department of Health and the Can Tho Preventive Health Center, to improve early detection techniques for dengue fever and strengthen the capacity of the Can Tho health system, including health care practitioners, to be able to respond to abnormal outbreaks of dengue fever, as part of the Asian City Climate Change Resilience Network"
2011 CAC 310,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,reserach climate and dengue in Can Tho,,518720,Vietnam,326855,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Can Tho Department of Health and the Can Tho Preventive Health Center, to improve early detection techniques for dengue fever and strengthen the capacity of the Can Tho health system, including health care practitioners, to be able to respond to abnormal outbreaks of dengue fever, as part of the Asian City Climate Change Resilience Network"
2011 CAC 310,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,reserach climate and dengue in Can Tho,,518720,Vietnam,518720,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Can Tho Department of Health and the Can Tho Preventive Health Center, to improve early detection techniques for dengue fever and strengthen the capacity of the Can Tho health system, including health care practitioners, to be able to respond to abnormal outbreaks of dengue fever, as part of the Asian City Climate Change Resilience Network"
2011 CAC 310,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,reserach climate and dengue in Can Tho,,518720,Vietnam,518720,,,"Dayal, Ashvin",1/1/12,12/31/14,"toward the costs of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Can Tho Department of Health and the Can Tho Preventive Health Center, to improve early detection techniques for dengue fever and strengthen the capacity of the Can Tho health system, including health care practitioners, to be able to respond to abnormal outbreaks of dengue fever, as part of the Asian City Climate Change Resilience Network"
2011 CAC 311,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Enhance Can Tho City's resilience in response to salinization of the surface water resources,,521410,Vietnam,521410,,,"Dayal, Ashvin",1/1/12,6/30/15,"in support of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Department of Natural Resources and Environment, the Department of Agriculture and Rural Development and local research institutes, to develop and implement a real-time salinity monitoring system, determine threshold salinity concentrations, and identify and implement response mechanisms to increase urban climate change resilience in Can Tho city, Vietnam, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 311,Institute for Social and Environmental Transition,Environmental Research,41082,Climate: Asian Cities,Enhance Can Tho City's resilience in response to salinization of the surface water resources,,521410,Vietnam,521410,,,"Dayal, Ashvin",1/1/12,6/30/15,"in support of a project, in collaboration with the Can Tho Climate Change Coordination Office, the Department of Natural Resources and Environment, the Department of Agriculture and Rural Development and local research institutes, to develop and implement a real-time salinity monitoring system, determine threshold salinity concentrations, and identify and implement response mechanisms to increase urban climate change resilience in Can Tho city, Vietnam, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 314,Mercy Corps,Environmental Research,41082,Climate: Asian Cities,Bandar Lampung Building Teachers and Students CCA capacity,,450000,Indonesia,450000,,,"Dayal, Ashvin",1/1/12,6/30/15,"for use by its Indonesia Office in support of developing and implementing an urban climate change resilience curriculum and teacher training program in Bandar Lampung, Indonesia and conducting outreach activities to generate interest for replication nationally, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 314,Mercy Corps,Environmental Research,41082,Climate: Asian Cities,Bandar Lampung Building Teachers and Students CCA capacity,,450000,Indonesia,450000,,,"Dayal, Ashvin",1/1/12,6/30/15,"for use by its Indonesia Office in support of developing and implementing an urban climate change resilience curriculum and teacher training program in Bandar Lampung, Indonesia and conducting outreach activities to generate interest for replication nationally, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 315,Mercy Corps,Environmental Research,41082,Climate: Asian Cities,Ground Water Conservation Bandar Lampung,8,495860,Indonesia,495860,,,"Dayal, Ashvin",1/1/12,4/30/14,"for use by its Indonesia Office to develop and implement a wide-spread installation of biopores in Bandar Lampung, Indonesia to increase ground water recharge and assist in the management of flooding, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 315,Mercy Corps,Environmental Research,41082,Climate: Asian Cities,Ground Water Conservation Bandar Lampung,8,495860,Indonesia,495860,,,"Dayal, Ashvin",1/1/12,4/30/14,"for use by its Indonesia Office to develop and implement a wide-spread installation of biopores in Bandar Lampung, Indonesia to increase ground water recharge and assist in the management of flooding, as part of the Asian Cities Climate Change Resilience Network."
2011 CAC 316,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,Building Capacity of GEAG to lead Urban Climate Change Resilience in Eastern India,3,616420,India,49662,,,"Dayal, Ashvin",1/1/12,6/30/15,"in support of efforts to strengthen its institutional capacity to build urban climate change resilience in Eastern India by expanding its activities to three new cities, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 316,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,Building Capacity of GEAG to lead Urban Climate Change Resilience in Eastern India,3,616420,India,616420,,,"Dayal, Ashvin",1/1/12,6/30/15,"in support of efforts to strengthen its institutional capacity to build urban climate change resilience in Eastern India by expanding its activities to three new cities, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 316,Gorakhpur Environmental Action Group,Environmental Research,41082,Climate: Asian Cities,Building Capacity of GEAG to lead Urban Climate Change Resilience in Eastern India,3,616420,UnitedStates,60140,,,"Dayal, Ashvin",1/1/12,6/30/15,"in support of efforts to strengthen its institutional capacity to build urban climate change resilience in Eastern India by expanding its activities to three new cities, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 318,Thailand Environment Institute Foundation,Environmental Research,41082,Climate: Asian Cities,Hat Yai community based flood preparedness capacity,,196750,Thailand,166735,,,"Dayal, Ashvin",1/1/12,6/30/14,"in support of activities, in collaboration with the Songkla Community Foundation, to build capacity for flood preparedness and response, and a model for partnership and collaboration between local communities and local government agencies in Hat Yai city responsible for delivery of basic services including sanitation, welfare and health, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 318,Thailand Environment Institute Foundation,Environmental Research,41082,Climate: Asian Cities,Hat Yai community based flood preparedness capacity,,196750,Thailand,196750,,,"Dayal, Ashvin",1/1/12,6/30/14,"in support of activities, in collaboration with the Songkla Community Foundation, to build capacity for flood preparedness and response, and a model for partnership and collaboration between local communities and local government agencies in Hat Yai city responsible for delivery of basic services including sanitation, welfare and health, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 319,Taru Leading Edge Private Limited,,,Climate: Asian Cities,Indore city vectorborne disease surveillance,,183080,India,183080,,,"Dayal, Ashvin",12/1/11,10/31/14,"in support of enhancing the climate change resilience of the city of Indore, India through the establishment of an integrated vector- and water-borne disease surveillance and response system to help cope with projected increases in vector diseases due to increasing temperatures and more intense precipitation, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 320,Mercy Corps,,,Climate: Asian Cities,Flood Warning system Semerang,,552230,Indonesia,552230,,,"Dayal, Ashvin",1/1/12,12/31/14,"for use by its Indonesia Office in support of developing and implementing a flood forecasting and warning system and flood risk preparedness in Semarang, Indonesia to strengthen resilience to climate change impacts, as part of the Asian Cities Climate Change Resilience Network"
2011 CAC 320,Mercy Corps,,,Climate: Asian Cities,Flood Warning system Semerang,,552230,Indonesia,552230,,,"Dayal, Ashvin",1/1/12,12/31/14,"for use by its Indonesia Office in support of developing and implementing a flood forecasting and warning system and flood risk preparedness in Semarang, Indonesia to strengthen resilience to climate change impacts, as part of the Asian Cities Climate Change Resilience Network"
2011 CRD 301,IGAD Climate Prediction and Applications Centre,,,Climate: African Ag,Provide usable climate information to agricultural centers,,300000,,,EasternAfrica,300000,"Boltz, Fred",8/1/11,12/31/14,in support of strengthening its institutional capacity in agrometeorology and in climate prediction and its ability to provide greater and more effective dissemination of climate information to the agriculture sector and farmers in East Africa
2011 CRD 303,Board of Trustees of the Leland Stanford Junior University,,,Climate: African Ag,Climate change and agricuture research,,150000,,,SubSaharanAfrica,150000,"Boltz, Fred",11/1/11,10/31/14,"in support of research that will integrate climate change resilience models, crop models and food security data in sub-Saharan Africa to inform the prioritization of investments in agricultural development and aid in the identification of potentially adaptive crop research and crop shifting strategies"
2011 CRD 306,Center for International Forestry Research,,,Climate: African Ag,Research on forest contribution to ag adaptation,,600000,,,EasternAfrica,600000,"Boltz, Fred",12/1/11,12/31/15,in support of developing national policies for adaptation to climate change among farmers living adjacent to forests in Kenya and Uganda
2011 CRD 306,Center for International Forestry Research,,,Climate: African Ag,Research on forest contribution to ag adaptation,,600000,Kenya,195000,,,"Boltz, Fred",12/1/11,12/31/15,in support of developing national policies for adaptation to climate change among farmers living adjacent to forests in Kenya and Uganda
2011 CRD 306,Center for International Forestry Research,,,Climate: African Ag,Research on forest contribution to ag adaptation,,600000,Uganda,45000,,,"Boltz, Fred",12/1/11,12/31/15,in support of developing national policies for adaptation to climate change among farmers living adjacent to forests in Kenya and Uganda
